route,flightDate,mean_fare,n
ATL-EWR,2022-05-14,213.11880856760374,747.0
ATL-EWR,2022-05-15,315.9828331688056,1013.0
ATL-EWR,2022-05-16,242.9357355679702,1074.0
ATL-EWR,2022-05-17,183.72734873487352,909.0
ATL-EWR,2022-05-18,163.87861999999998,1000.0
ATL-EWR,2022-05-19,226.79999058380415,1062.0
ATL-EWR,2022-05-20,231.97931067044382,1059.0
ATL-EWR,2022-05-21,212.02509110396568,933.0
ATL-EWR,2022-05-22,303.65957528957523,1036.0
ATL-EWR,2022-05-23,238.27825065274152,1149.0
ATL-EWR,2022-05-24,207.8868151016457,1033.0
ATL-EWR,2022-05-25,218.73,1118.0
ATL-EWR,2022-05-26,255.9679883624273,1203.0
ATL-EWR,2022-05-27,280.40873517786565,1265.0
ATL-EWR,2022-05-28,262.62657868020307,985.0
ATL-EWR,2022-05-29,283.8103877887789,1212.0
ATL-EWR,2022-05-30,433.3769603174603,1260.0
ATL-EWR,2022-05-31,315.1473553719008,1210.0
ATL-EWR,2022-06-01,267.62518860016763,1193.0
ATL-EWR,2022-06-02,210.56318706697462,1299.0
ATL-EWR,2022-06-03,253.62437268002972,1347.0
ATL-EWR,2022-06-04,273.8371575984991,1066.0
ATL-EWR,2022-06-05,294.15654627539504,1329.0
ATL-EWR,2022-06-06,251.75819778789852,1537.0
ATL-EWR,2022-06-07,236.47510805500983,1527.0
ATL-EWR,2022-06-08,231.46526785714283,1568.0
ATL-EWR,2022-06-09,263.71127970749546,1641.0
ATL-EWR,2022-06-10,264.3865578817734,1624.0
ATL-EWR,2022-06-11,231.56299132947981,1384.0
ATL-EWR,2022-06-12,298.82094899935447,1549.0
ATL-EWR,2022-06-13,234.53319830713423,1654.0
ATL-EWR,2022-06-14,205.79043321299642,1662.0
ATL-EWR,2022-06-15,210.20347748815166,1688.0
ATL-EWR,2022-06-16,253.53298396334478,1746.0
ATL-EWR,2022-06-17,263.12925615212527,1788.0
ATL-IAD,2022-04-17,487.6826086956522,23.0
ATL-IAD,2022-04-18,381.23818181818183,22.0
ATL-IAD,2022-04-19,298.865,62.0
ATL-IAD,2022-04-20,318.3981318681319,91.0
ATL-IAD,2022-04-21,478.7202564102564,78.0
ATL-IAD,2022-04-22,298.3584,75.0
ATL-IAD,2022-04-23,321.1067256637168,113.0
ATL-IAD,2022-04-24,392.54888888888894,81.0
ATL-IAD,2022-04-25,381.71338842975206,121.0
ATL-IAD,2022-04-26,286.17086124401914,209.0
ATL-IAD,2022-04-27,342.4355862068966,145.0
ATL-IAD,2022-04-28,345.55201970443346,203.0
ATL-IAD,2022-04-29,269.692096069869,229.0
